"CompanyNumber","CompanyName","CompanyCategory","CompanyStatus","IncorporationDate","CompanyAdd","SICCode1","SICCode2","SICCode3","SICCode4"
"05584173","21C CONSULTANCY LIMITED","Private Limited Company","Active",2005-10-05,"W3 6AY","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"03958483","7DIGITAL GROUP PLC","Public Limited Company","Active",2000-03-28,"EC2A 2BB","70100 - Activities of head offices","FALSE","FALSE","FALSE"
"04264634","ALPINE INTERACTIVE UK LTD","Private Limited Company","Active",2001-08-03,"EN4 9HN","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"03223028","AMAZON.CO.UK LTD.","Private Limited Company","Active",1996-07-10,"SL1 1QP","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"08650665","AMAZON WEB SERVICES UK LIMITED","Private Limited Company","Active",2013-08-14,"SL1 1QP","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
"06630234","AMEE UK LIMITED","Private Limited Company","Active",2008-06-25,"N1 6AS","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"05113615","APOGEE DATA CONSULTING LIMITED","Private Limited Company","Active",2004-04-27,"TN30 7DF","58190 - Other publishing activities","62090 - Other information technology service activities","FALSE","FALSE"
"09122131","APP AND MOBILE LTD","Private Limited Company","Active",2014-07-08,"WC2H 9JQ","None Supplied","FALSE","FALSE","FALSE"
"06946606","ARCUS GLOBAL LIMITED","Private Limited Company","Active",2009-06-29,"CB4 2HY","84110 - General public administration activities","FALSE","FALSE","FALSE"
"01312454","ARUP GROUP LIMITED","Private Limited Company","Active",1977-05-04,"W1T 4BQ","70100 - Activities of head offices","FALSE","FALSE","FALSE"
"06428260","ABOVE MOBILE LIMITED","Private Limited Company","Active",2007-11-15,"M20 1LX","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"RC000057","BRITISH BROADCASTING CORPORATION",NA,NA,NA,"M20 1LX",NA,"FALSE","FALSE","FALSE"
"03144016","BEARINGPOINT LIMITED","Private Limited Company","Active",1996-01-02,"WC2B 5DG","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"03680030","BIOMED CENTRAL LIMITED","Private Limited Company","Active",1998-12-08,"WC1X 8HB","58141 - Publishing of learned journals","FALSE","FALSE","FALSE"
"03866041","BOILERHOUSE MEDIA LIMITED","Private Limited Company","Active",1999-10-26,"OX7 5BH","47910 - Retail sale via mail order houses or via Internet","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE"
"01926883","CAMBRIDGE ENVIRONMENTAL RESEARCH CONSULTANTS LIMITED","Private Limited Company","Active",1985-06-28,"CB2 1SJ","72190 - Other research and experimental development on natural sciences and engineering","FALSE","FALSE","FALSE"
"07343209","CAMPSALL OWEN LIMITED","Private Limited Company","Active",2010-08-11,"NN12 8BT","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"06745704","COMPUTING DISTRIBUTION GROUP LTD","Private Limited Company","Active",2008-11-11,"SL5 0DJ","62012 - Business and domestic software development","62020 - Information technology consultancy activities","FALSE","FALSE"
"02843595","CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (U.K.) LIMITED","Private Limited Company","Active",1993-08-09,"RG2 6UA","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"06915357","PEOLSFORD LIMITED","Private Limited Company","Active",2009-05-26,"WV13 2HA","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
"03412339","COREFILING LIMITED","Private Limited Company","Active",1997-07-31,"OX2 6SU","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"03936467","CREOTEC LIMITED","Private Limited Company","Active",2000-02-29,"RG12 1RP","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"IP032171","DATA UNLOCKED LIMITED",NA,NA,NA,"RG12 1RP",NA,"FALSE","FALSE","FALSE"
"03264646","DATA QUALITY MANAGEMENT GROUP LIMITED","Private Limited Company","Active",1996-10-17,"HP11 2RX","73200 - Market research and public opinion polling","FALSE","FALSE","FALSE"
"08401945","LITTLE RED IDEAS LIMITED","Private Limited Company","Active",2013-02-14,"UB10 9AY","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"05724296","DATASALON LTD","Private Limited Company","Active",2006-02-28,"OX1 5NH","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"08302817","DATA UNITY LTD","Private Limited Company","Active",2012-11-21,"BS2 9YR","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"05158056","DELIB LIMITED","Private Limited Company","Active",2004-06-21,"BS1 4DZ","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"OC303675","DELOITTE LLP","Limited Liability Partnership","Active",2003-01-10,"EC4A 3BZ","None Supplied","FALSE","FALSE","FALSE"
"06368740","DEVELOPMENT INITIATIVES POVERTY RESEARCH LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2007-09-12,"BS1 6FL","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"08637230","DIGITAL CONTRAPTIONS IMAGINARIUM LTD.","Private Limited Company","Active",2013-08-05,"BN3 6HA","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"08397038","DOORDA LIMITED","Private Limited Company","Active",2013-02-11,"EC1V 4PE","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"08386400","DISRUPTION LTD","Private Limited Company","Active",2013-02-04,"EC4A 1JQ","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"06999618","DUEDIL LIMITED","Private Limited Company","Active",2009-08-25,"WC1R 4AG","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
