"CompanyNumber","CompanyName","IncorporationDate"
"07024145","100% OPEN LIMITED",2009-09-20
"04544799","1060 RESEARCH LIMITED",2002-09-25
"05584173","21C CONSULTANCY LIMITED",2005-10-05
"06642193","38 DEGREES",2008-07-09
"09014101","3D REPO LTD",2014-04-28
"07941015","3TIER (EUROPE) LIMITED",2012-02-08
"06312735","4SL CONSULTING LIMITED",2007-07-13
"03958483","7DIGITAL GROUP PLC",2000-03-28
"07450843","A GOOD LIFE FOR ALL CIC",2010-11-25
"07049166","ABUNDANCE NRG LTD",2009-10-19
"06345791","ACCENDO ASSOCIATES LIMITED",2007-08-17
"04560531","ACCESS SPACE NETWORK",2002-10-11
"05110197","ACCESSART",2004-04-23
"OC381725","ACTUATED FUTURES LLP",2013-01-18
"SC101089","ADOBE SYSTEMS EUROPE LIMITED",1986-09-29
"NI071966","ADVICE NI",NA
"07301894","ADHUNTER LIMITED",2010-07-01
"08774979","AEON BIOSYSTEMS LIMITED",2013-11-14
"RC000800","THE ARTS AND HUMANITIES RESEARCH COUNCIL",NA
"07692995","AIDA TECHNOLOGY LTD",2011-07-05
"05658020","AIMES GRID SERVICES COMMUNITY INTEREST COMPANY",2005-12-19
"05821446","AIMIA EMEA LIMITED",2006-05-18
"08644182","AISTEMOS LIMITED",2013-08-09
"04429260","ALFRESCO SOFTWARE LIMITED",2002-05-01
"04264634","ALPINE INTERACTIVE UK LTD",2001-08-03
"OC378472","ALTMETRIC LLP",2012-09-17
"03223028","AMAZON.CO.UK LTD.",1996-07-10
"08650665","AMAZON WEB SERVICES UK LIMITED",2013-08-14
"06630234","AMEE UK LIMITED",2008-06-25
"02379479","AMEY PLC",1989-05-04
"05113615","APOGEE DATA CONSULTING LIMITED",2004-04-27
"09122131","APP AND MOBILE LTD",2014-07-08
"08054876","APPNOVATION TECHNOLOGIES LIMITED",2012-05-02
"07969821","APPTUAL LTD.",2012-02-29
"06946606","ARCUS GLOBAL LIMITED",2009-06-29
"02768550","ARIUM LIMITED",1992-11-27
"01312454","ARUP GROUP LIMITED",1977-05-04
"04006623","ASOS PLC",2000-06-02
"01245534","ATOS IT SERVICES UK LIMITED",1976-02-23
"06428260","ABOVE MOBILE LIMITED",2007-11-15
"07296537","AYOUPA LIMITED",2010-06-28
