"lon","lat","postcode"
-2.5948785,51.4519425,"BS1 4DZ"
-1.2383264,52.9046827,"NG9 6DZ"
-0.9961002,51.7718662,"HP18 9AA"
-0.5769831,51.2343099,"GU2 4HJ"
-0.1444511,51.5245068,"NW1 4DF"
-0.0194504,51.504954,"E14 5AA"
-2.5963423,51.4571502,"BS1 2NN"
-2.0491613,52.5825175,"WV13 2HA"
-0.1246884,51.5079879,"WC2N 6RH"
-2.2363568,53.4841714,"M4 1HN"
-0.0813372,51.5053533,"SE1 2AF"
-1.9250644,52.4481411,"B5 7SW"
0.1138547,52.1740073,"CB2 9JA"
-0.146932,51.5306872,"NW1 7FB"
-0.0838536,51.5171568,"EC2M 1NH"
-0.1422533,51.51369,"W1S 1YH"
-0.1611227,51.4903281,"SW3 4QY"
-0.0933493,51.5172216,"EC2V 7HR"
-0.0985374,51.5196619,"EC1A 9ET"
-0.0836629,51.5223873,"EC2A 4JE"
-0.1961657,51.5119507,"W2 4DS"
-0.1161452,51.5205125,"WC1R 4JS"
-0.079744,51.5041762,"SE1 2AQ"
-2.2353251,53.4774591,"M1 3FY"
-0.0778177,51.5163926,"EC2M 4YD"
-0.0705568,52.218188,"CB23 6JN"
-0.0855003,51.5225702,"EC2A 4BX"
-4.4402439,55.8863499,"PA4 9LH"
-0.2791243,51.5622502,"HA9 0NP"
-0.1578819,50.825714,"BN3 1DD"
-0.1467321,51.5141295,"W1S 1SJ"
-0.1416227,51.5245789,"NW1 3BT"
-0.8215197,51.2062556,"GU10 5EH"
-0.0561804,51.5360984,"E9 7NE"
-1.2399456,51.7476025,"OX4 1LF"
-0.7154845,52.001698,"MK1 1BA"
-1.2229017,51.7152123,"OX4 4GE"
-0.7464548,51.5113617,"SL6 4UB"
-2.0807477,51.9007637,"GL50 3PR"
-0.4276658,51.5015871,"UB3 4AZ"
-0.0836758,51.5189884,"EC2M 2QS"
-0.3727485,51.7001757,"WD25 9XX"
-0.491686,51.6831586,"WD3 6BJ"
-0.6288227,51.3931214,"SL5 0DJ"
-0.1169377,51.5107324,"WC2R 1LA"
-0.1160665,51.5248636,"WC1X 8XG"
-0.0808679,51.5117214,"EC3M 3JY"
-0.0880061,51.4992073,"SE1 6LE"
-0.1016645,51.5030403,"SE1 0BL"
-0.0923761,51.5118822,"EC4N 6NP"
-0.0836629,51.5223873,"EC2A 4JE"
-3.0523901,53.1890896,"CH5 3UZ"
-0.0976483,51.5046748,"SE1 0HS"
-1.0587259,53.9686828,"YO31 1BR"
-0.0505755,51.5211497,"E1 4UJ"
-0.4764789,51.3679678,"KT15 2SF"
0.0328825,51.5524572,"E7 0LJ"
-0.6161247,51.2387988,"GU2 7YH"
-0.084907,51.4999442,"SE1 3ER"
-0.3055271,51.4608503,"TW9 1PX"
-1.3242794,51.4038243,"RG14 1DQ"
-2.1201713,53.2712163,"SK10 2NZ"
-0.1003232,51.5238543,"EC1V 0JR"
-0.0818218,51.5277797,"N1 6NU"
-0.1317818,51.5079033,"SW1Y 4TE"
1.0758768,51.2761124,"CT1 2PX"
-1.9110429,52.4772231,"B1 2HF"
-0.101133,51.5303781,"EC1V 2NZ"
-2.351032,53.3887456,"WA14 4PA"
-0.0223095,51.7678974,"EN11 9BU"
-0.1134028,51.5185081,"WC1V 6AX"
-0.1520017,50.9518698,"RH15 9RY"
-0.1296783,51.5258368,"WC1H 9HQ"
-0.134192,51.4975823,"SW1H 0XA"
-0.1259629,51.49273,"SW1P 4DP"
1.1559132,52.0542047,"IP4 1AQ"
-1.4701131,53.3850765,"S3 8PZ"
-0.1187805,51.5174254,"WC1V 7EX"
-0.105613,51.5131039,"EC4Y 8EN"
-4.0852557,52.4126893,"SY23 1QB"
-0.1080988,51.5202391,"EC1N 8EB"
-0.1093383,51.5171117,"EC4A 1EN"
-1.8872804,52.4769511,"B5 5NR"
0.9042683,51.7757273,"CO5 8LS"
-1.5374265,53.7944791,"LS2 7EY"
-0.1047328,51.5169475,"EC1A 2BN"
-0.100202,51.5052918,"SE1 0NZ"
-0.1411029,51.5146879,"W1F 7TU"
-0.080038,51.5276876,"N1 6NG"
-0.0848193,51.5219656,"EC2A 2BB"
-0.1050789,51.5322224,"EC1V 1NQ"
-0.1408237,51.5254385,"NW1 3HG"
