"x"
" WC2R 1LA"
" BS37 6DA"
" W11 1QU"
" EC1R 0NE"
" WC1H 0PP"
" B5 7SW"
" LS11 6AD"
" SL6 8AD"
" B2 5LG"
" SN2 1UH"
" M1 3FY"
" L7 9NJ"
" WC2R 0NN"
" WC2E 9RA"
" SL6 1AF"
" SW1H 9HP"
" N1 9XW"
NA
" N1 6AA"
" OX4  4GE"
" TN30 7DF "
NA
" RG1 3EU"
" CB4 2HY"
" EC2M 1NH"
" W1T 4BQ"
" NW1 7FB"
" NW1 3HG"
" M15 6JJ"
NA
" W1A 1AA"
" W1S 1YH "
" SN2 1UH"
" WC2B 5DG"
" EC1Y 1AA"
" SW1H 0AD"
" N52HS"
" WC1X 8HB"
" UB11 1FW"
" B5 5NR"
" EC2A 4NE"
" GL50 3PR"
" WD25 9XX"
" W2 4DS"
NA
" CB2 1SJ"
NA
" GU21 6DB"
" EC2A 4JE"
" WC2A 3HP"
" BH7 7DU "
" SL5 0DJ"
" EC4V 5EX"
" N1 9AG"
" W6 7EF"
NA
" W14 0QL"
" EC2M 4YD"
" CO79NP"
" WV13 2HA"
" OX2 0FA"
" SL6 4UB"
" RG12 1RP"
" GU2 9JX"
" WC2R 1LA"
NA
" SW3 4QY"
" CB29JA."
NA
" BT3 9DT"
" HP11 2RX"
NA
NA
" OX1 5NH"
NA
" BS1 4DZ"
" MK9 1FD"
" N1 8PT"
" BS1 6FL"
" WC1X 8XG"
" B2 5LG"
" CB23 6JN"
NA
" CB22 5NE"
" SW1H 9BP"
" EC1V 4PE"
" N16NT"
NA
NA
" BA1 2JQ"
NA
" EC1N 8EB"
" WC1H 8BU"
" N1 9RL"
" BS20 6PT"
" SN2 1ET"
" SN2 1UJ"
" HP21 7QG"
" EC3M 3JY"
" NG9 6DZ"
" TN6 1UQ"
" SE1 2AF"
" SE1 1JX"
" EC1V 1NQ"
" N1 9XW"
NA
NA
" GU2 4HJ"
" IG8 7LS"
NA
NA
" GU12 4RQ"
" EC4Y 8EN"
" M15 6JJ"
" EC2Y 8AD"
" EC2A 4BX"
NA
" SW1P 4DP"
NA
NA
" WC1X 9LW"
" EH8 8AS"
" WC2N 4JF"
NA
" CB4 0PP"
" E14 5AA"
" EC2V 8EA"
" SL7 1AB"
" E1 1DU"
" LS2 7EY"
" EC1R 0AT"
NA
" N4 2DS"
NA
" PO6 3AU"
" EH54 7GA"
" NW3 7QB"
" SE1 6LE"
" EC2A 4BX"
NA
" MK9 3BP"
NA
" NG3 4GP"
NA
" IP4 1AQ"
" SE1 0BL"
" E14 5JP"
" EC1M 6AW"
" BT2 8LA"
" E8 1NE"
" EC2A 3DR"
" S3 8PZ"
" PO1 2JF"
" RG12 1RB"
" E14 5GL"
NA
NA
" N22 8HF"
" WC1V 7EX"
" BN1 4AJ"
NA
" PA4 9LH"
" FY4 2RH "
" EC1M 5RF"
" M4 1HN"
" M11 3FF"
" OL9 8EF"
" B3 3RB"
" EC4N 6NP"
" EC2A 4JE"
" SW1Y 4UH"
" CO5 8LS"
" EC1R 5DF"
" SW4 0AF"
" BS1 2NN"
NA
" W1T 1HY"
" CH5 3UZ"
" EC2A 4HJ"
" SN2 1ET"
" S1 2BS"
NA
" WD3 6BJ"
" G3 6RQ"
" N13 4BS"
" SN2 1EU"
" EC4A 1DE"
NA
NA
" OX3 9RX"
NA
" OX4 4DQ"
" DH4 7LA"
" EC3V 3DG"
" WC1R 4JS"
" BN1 4GQ"
" SY23 1QB"
" HA9 0NP"
" EC24A 4JE"
NA
NA
NA
" SE1 1EN"
" EC2A 4JE"
NA
" EC2A 4JE"
" EC2V 7HR"
NA
" EC1R 5DF"
NA
" EC1A 9ET "
" SE1 8RT"
" RG6 1RA"
" OX5 1PF"
" SL6 6QG"
" W1T 6PU"
NA
" S3 8EN"
NA
NA
" SW15 1AZ"
" BH4 9LJ"
" SW9 8BJ"
" EC2M 2QS"
" EC2M 4YF"
" SW1Y 4TE"
NA
" SW1Y 4TE"
" W2 6HY"
" BN3 1DD"
" W1F 8HT"
" UB3 4AZ"
NA
" SE1 0HS"
" EC2A 3JL"
" IM2 3HF"
" EC24A 4JE"
" B3 1DX"
" YO31 1BR"
" SW15 1SQ"
" EC1Y 8LX"
NA
" W1S 1SJ"
" SE1 3UD"
" E2 9PF"
" L3 5RF"
NA
" EC2A 2BB"
" SY1 3GA"
" E1 4UJ"
" KT152SF"
NA
" GU14 0LX"
" SO15 2EU"
" BT47 6TH"
" SE17 3LH"
" E70LJ"
" EC2A 4JE"
" RG14 1DQ"
" CH5 4AS"
" SN2 1SZ"
NA
" SW6 3HH"
" M1 1EZ"
" GU2 7YH"
" NG24 2NL"
" SE1 0SU"
" B1 3HN"
NA
NA
" M1 2HG"
" SL1 4DX"
" EN8 9SL"
NA
NA
" SE1 3ER"
" Herts HP4 1EH"
" NW1 2DB"
" WC1B 3DG"
" SW7 5BD"
" BN1 1HL"
" EC1M 5RF"
" N1 9GU"
" SW1Y 5AA"
" SW1P 3HZ"
" CB4 0WS"
" SE1 9SG"
" NW1 3BT"
" SW1P 2PF"
" GU10 5EH"
" EC2A 4EG"
" WC1V 7AA "
NA
" KT3 6BD"
" E9 7NE"
" EC4Y 0BS"
" RG17 0DY"
NA
" TW9 1PX"
" HP18 9AA"
" NW1 2DN"
" WC2B 5HA"
" NR3 1PD"
" E1 4TT"
" WC1E 7BT"
" EC4Y 8AE"
" WR1 2PL"
NA
NA
" CV1 2FL"
" OX4 1LF"
" OX2 0DE"
" EC2A 3LT"
NA
" L3 5TF"
" BD6 2LZ "
" W6 7AN"
" MK1 1BA"
" EC4A 1EN"
" MK7 8LE"
